distance,duration
2832.8,566.5
15187.8,3323.3
3274.3,664.1
6872.3,1403.1
6226.4,1253.6
8697.2,1794.0
4336.1,870.3
2739.6,551.0
9007.7,1830.6
12300.2,2536.7
6805.1,1502.3
15893.7,3196.9
7423.7,1517.8
19438.5,4002.3
2504.9,501.0
13568.1,2823.6
16083.9,3423.0
11389.6,2395.7
5435.8,1112.2
4525.5,909.1
7740.4,1568.7
22086.4,4487.0
11753.9,2377.3
9651.9,2036.4
911.3,182.3
8555.8,1774.4
5336.6,1074.1
18359.0,3781.2
7494.4,1596.7
772.1,163.1
20736.2,4187.5
9773.6,2099.8
10761.5,2282.7
10907.3,2211.7
4125.9,871.8
7499.2,1577.4
2743.0,550.2
8733.3,1752.9
7563.0,1538.0
15401.6,3183.3
22639.6,4589.8
7672.7,1553.6
15795.9,3262.5
16133.8,3261.7
10258.9,2068.7
1203.7,249.0
9082.9,1832.3
18021.9,3673.4
14017.4,2948.6
10286.1,2089.8
9094.3,1843.1
18968.2,3844.0
533.8,107.5
8615.4,1745.7
22086.4,4487.0
6258.2,1274.7
7446.7,1577.0
11664.6,2334.2
17941.4,3651.2
7668.8,1544.5
8213.4,1663.5
226.3,47.9
12177.4,2435.4
14002.6,2869.4
10419.9,2154.2
10892.2,2255.0
1752.6,350.5
2160.0,442.4
2260.4,453.9
8910.7,1782.1
2636.5,527.3
8162.8,1695.5
5902.2,1198.9
2260.4,453.9
11588.1,2345.1
12990.4,2635.1
16790.0,3397.3
15192.2,3180.3
17189.3,3623.8
15977.9,3244.3
10891.1,2239.8
4372.8,937.5
4186.8,843.5
5051.6,1030.1
15717.1,3549.6
9677.1,2041.7
2470.1,530.0
22968.2,4776.1
19486.2,4669.3
2093.6,435.9
10891.1,2239.8
5055.7,1041.0
8610.5,1739.4
6305.7,1324.0
17879.1,4081.5
4502.3,964.9
9012.7,2078.2
6277.3,1277.6
20594.9,4191.5
6780.5,1356.1
3575.3,719.6
5773.7,1192.6
2078.2,415.6
9278.3,1899.2
6727.0,1384.9
12203.3,2493.9
7948.9,1608.4
9475.4,1926.4
17378.4,3550.5
10293.2,2087.0
2912.2,657.5
8855.1,1807.7
5725.0,1190.3
18739.7,3830.0
2459.3,491.8
9396.9,1940.4
15429.7,3096.8
4695.4,972.7
20411.8,4122.2
16095.8,3240.9
7489.9,1508.3
7097.4,1443.2
15903.8,3251.1
13457.4,2777.8
7343.8,1477.2
3833.5,775.6
4273.1,866.2
5672.4,1176.6
7533.5,1544.6
48331.9,9991.3
7919.5,1590.7
7906.7,1655.5
18992.8,3886.7
10293.6,2791.5
5473.3,1113.1
13450.7,2749.6
5177.8,1056.4
22900.8,4852.9
13425.9,2812.0
22790.2,5618.8
9699.2,1952.8
8565.0,1753.7
24148.6,4892.5
4626.9,950.2
13236.3,2698.5
4363.0,889.1
3474.2,792.8
13108.2,2669.2
23024.1,5374.4
10801.3,2223.5
7123.1,1525.7
6594.8,1395.7
7699.0,1566.7
6730.0,1370.0
10891.1,2239.8
22116.9,5093.5
7163.0,1432.6
4125.6,911.1
2533.8,506.7
8721.1,1764.3
8204.8,1683.8
6526.0,1324.3
18266.4,3946.2
10293.2,2087.0
11759.3,2384.5
8182.8,1730.5
16531.2,3483.5
22630.8,4560.6
5380.6,1132.6
14049.3,2834.2
12025.2,2490.9
5219.5,1061.8
12157.3,2451.5
16531.2,3483.5
15144.5,3088.9
10110.6,2068.5
11607.2,2362.3
8256.4,1765.7
12271.0,2472.7
6343.6,1268.7
2756.7,577.9
19788.4,4008.3
4731.7,961.1
10057.5,2061.7
2235.8,454.0
10590.4,2172.8
14986.9,3057.6
6973.5,1405.5
1745.5,352.2
3526.0,723.2
5712.5,1165.0
9389.1,1895.9
12910.0,2658.6
28233.6,5756.0
11454.6,2328.2
27934.4,5722.9
10401.3,2207.6
4017.6,816.9
16531.2,3483.5
12553.0,2693.2
14426.1,2913.2
8212.8,1656.8
25314.5,5124.6
6099.7,1219.9
8179.2,1647.3
16767.5,3383.1
7575.8,1535.0
9572.2,1946.1
18359.0,3781.2
8233.2,1679.1
5487.8,1106.4
11253.9,2250.7
3100.2,623.1
24680.0,5726.1
4882.0,986.9
13840.4,2797.5
7269.4,1458.8
6270.4,1316.8
11647.0,2367.0
7534.8,1525.4
6032.8,1274.5
8623.7,1747.4
2214.9,462.3
33040.7,7404.4
6762.4,1372.8
5741.1,1197.1
7408.1,1502.5
