Order.Week.Day.1,Order.Week.Day.2,Order.Week.Day.3,Order.Week.Day.4,Order.Week.Day.5,Order.Week.Day.6,Arrival.at.Pickup...Time,Distance..KM.,Pickup.Lat,Pickup.Long,Destination.Lat,Destination.Long,Temperature,Average_Rating,Time.from.Pickup.to.Arrival
1,0,0,0,0,0,43097,12,-1.329285,36.8867853,-1.300921,36.828195,26.4,14,1318
0,0,0,0,1,0,40822,11,-1.3207146,36.8305771,-1.2993231,36.7753372,25,0,1258
0,0,0,0,1,0,31100,11,-1.3167113,36.8301563,-1.2574219,36.792707299999996,19.3,13.3,1715
0,0,0,0,1,0,34558,5,-1.3004062,36.829741,-1.3083266,36.8494756,20.3,13.3,416
0,1,0,0,0,0,55438,14,-1.3177547,36.8303703,-1.306378,36.7519845,24,13.3,1537
0,0,0,0,1,0,41546,11,-1.3167113,36.8301563,-1.2574219,36.792707299999996,23.6,13.3,1319
0,1,0,0,0,0,43314,11,-1.3167113,36.8301563,-1.2574219,36.792707299999996,23.211889978889854,13.3,1175
0,1,0,0,0,0,46838,12,-1.2574219,36.792707299999996,-1.3177547,36.8303703,22.4,13.3,1446
0,0,0,1,0,0,57687,4,-1.3228003,36.8306435,-1.3004062,36.829741,22.3,13.3,457
0,1,0,0,0,0,30549,14,-1.3177547,36.8303703,-1.306378,36.7519845,19.8,13.3,1693
0,0,0,1,0,0,30176,14,-1.3177547,36.8303703,-1.306378,36.7519845,18.9,13.3,1849
0,1,0,0,0,0,39537,10,-1.3177547,36.8303703,-1.2574219,36.792707299999996,24.8,13.3,1699
0,0,0,1,0,0,30292,17,-1.300921,36.828195,-1.3198615,36.7110323,21.6,13.3,1584
0,0,0,0,1,0,50979,14,-1.3167113,36.8301563,-1.306378,36.7519845,24.8,13.3,1717
0,0,0,1,0,0,41139,15,-1.3077869,36.8443207,-1.3559093,36.9100452,21.4,13.3,1341
0,1,0,0,0,0,59658,14,-1.3177547,36.8303703,-1.306378,36.7519845,19.6,13.3,1859
0,0,1,0,0,0,41471,5,-1.3177547,36.8303703,-1.3077869,36.8443207,19.7,13.3,654
1,0,0,0,0,0,59080,10,-1.3177547,36.8303703,-1.2574219,36.792707299999996,24.3,13.3,1267
0,0,0,0,1,0,29891,8,-1.3004062,36.829741,-1.2638185,36.7930057,19.4,13.3,1820
0,1,0,0,0,0,42055,14,-1.3177547,36.8303703,-1.306378,36.7519845,23.8,13.3,1720
0,1,0,0,0,0,39789,4,-1.279285,36.8260574,-1.291899,36.809705,22.8,13.4,712
0,0,1,0,0,0,37347,11,-1.304033,36.7848695,-1.258348,36.8449018,24.2,13.4,2402
0,0,0,0,1,0,53901,14,-1.30157,36.7871,-1.329424,36.862726,25.6,13.4,1361
0,0,0,1,0,0,64813,6,-1.2747111,36.8083983,-1.3088824,36.8311983,22.4,13.4,2499
0,0,0,1,0,0,56684,8,-1.2932803,36.774089,-1.285386,36.8304605,24.9,13.4,1366
1,0,0,0,0,0,43527,4,-1.278967,36.8236745,-1.2753757,36.8026592,22.8,13.4,3392
0,1,0,0,0,0,37360,6,-1.2599563,36.7993439,-1.2824577,36.7967953,17.9,13.4,1573
0,0,0,0,1,0,56681,6,-1.255956,36.789867,-1.2651218,36.8228765,22.5,13.4,1077
0,0,0,0,1,0,42597,13,-1.303596,36.778378,-1.3313643,36.8577422,24.9,13.4,1112
0,0,0,0,0,1,46287,7,-1.2590031,36.8078168,-1.2970896,36.7771786,23.9,13.4,732
0,0,0,0,0,1,38065,8,-1.2765736,36.8513646,-1.2413316,36.8785525,22.5,13.4,1097
1,0,0,0,0,0,38441,1,-1.2649605,36.7981777,-1.2632534,36.7993427,23.211889978889854,13.4,329
0,0,0,1,0,0,62312,4,-1.2781868,36.8236786,-1.26211,36.7964663,22.1,13.4,531
0,0,0,0,1,0,44967,8,-1.3233955,36.8562944,-1.2950408,36.8098172,25.3,13.4,1695
0,0,0,0,1,0,46774,4,-1.2885529,36.8160141,-1.2651643,36.8072214,23.5,13.4,780
0,1,0,0,0,0,40371,1,-1.266294,36.8057971,-1.2684667,36.8002891,23.211889978889854,13.4,223
1,0,0,0,0,0,39708,9,-1.3169591,36.7000029,-1.3025826,36.7670807,23.8,13.4,1466
0,0,0,0,1,0,61994,19,-1.2793961,36.8838998,-1.214328,36.7911903,22.6,13.4,1851
0,1,0,0,0,0,36552,9,-1.3332749,36.8708147,-1.2802576,36.8246917,18.2,13.4,1673
0,0,1,0,0,0,53394,4,-1.2728058,36.8049903,-1.2709086,36.7929516,17.9,13.4,511
0,0,0,1,0,0,41422,10,-1.2696795,36.8640088,-1.2297202,36.8819507,23.211889978889854,13.4,1002
0,0,1,0,0,0,53371,20,-1.2297202,36.8745508,-1.312124,36.76162,23.2,13.4,2688
0,0,0,0,1,0,56676,17,-1.2615888,36.7928732,-1.2540899,36.7042728,21.3,13.4,1008
0,0,1,0,0,0,47108,6,-1.273009,36.802807,-1.2930705,36.8279433,23.8,13.4,1428
0,0,0,0,1,0,39203,19,-1.3632162,36.9108253,-1.290894,36.822971,21.2,13.4,2463
0,0,0,1,0,0,55667,7,-1.2901131,36.7923153,-1.2574088,36.799712,26,13.4,2553
1,0,0,0,0,0,44803,2,-1.279285,36.8260574,-1.2842286,36.8150609,22.9,13.4,484
1,0,0,0,0,0,52504,14,-1.2551895,36.7822034,-1.2297202,36.8819507,25.1,13.4,1148
0,0,0,1,0,0,53945,2,-1.3016513,36.7649321,-1.2963097,36.7688221,20.3,13.4,198
0,1,0,0,0,0,45541,3,-1.2897368,36.8226783,-1.267548,36.803249,21.6,13.4,471
0,0,0,0,0,1,53703,24,-1.2921513,36.752547,-1.3061785,36.9094142,23.211889978889854,13.4,2148
0,1,0,0,0,0,52114,8,-1.2551895,36.7822034,-1.2577289,36.7410772,24.6,13.4,1102
1,0,0,0,0,0,40002,18,-1.2859912,36.8756811,-1.3472066,36.7692638,24.6,13.4,1745
1,0,0,0,0,0,60059,7,-1.2637515,36.7885663,-1.2991543,36.7827912,20,13.4,1139
0,1,0,0,0,0,46367,11,-1.270212,36.8210877,-1.3014461,36.7661381,18.9,13.4,1167
0,0,0,0,1,0,49869,14,-1.226218,36.849712,-1.3108368,36.8226308,22.5,13.4,3665
0,0,0,0,1,0,39409,15,-1.3562374,36.9042954,-1.290894,36.822971,21,13.4,2457
1,0,0,0,0,0,56705,4,-1.2854453,36.8188363,-1.2720542,36.7910241,20.5,13.4,539
0,0,0,1,0,0,40722,3,-1.2584143,36.8048002,-1.2551895,36.7822034,23.3,13.4,343
0,0,0,1,0,0,40521,15,-1.2859912,36.8756811,-1.2940713,36.7890758,17.1,13.4,2152
0,0,0,1,0,0,50301,4,-1.269277,36.8068993,-1.2551895,36.7822034,20.3,13.4,2757
0,1,0,0,0,0,43091,8,-1.2948634,36.7651632,-1.284452,36.8300885,21.2,13.4,832
0,0,1,0,0,0,37273,4,-1.3052491,36.8223899,-1.2866012,36.8195691,21.3,13.4,612
0,0,0,1,0,0,52116,6,-1.2833534,36.8165865,-1.287139,36.768308,22.8,13.4,898
1,0,0,0,0,0,46591,4,-1.2963097,36.7688221,-1.2764692,36.7580111,18.5,13.4,479
0,0,1,0,0,0,38661,9,-1.3314048,36.8229367,-1.2658315,36.809049,24,13.4,1377
0,0,1,0,0,0,40820,9,-1.2600926,36.8088685,-1.303596,36.778378,22.4,13.4,1170
0,1,0,0,0,0,50706,2,-1.2701582,36.8074433,-1.2696908,36.81519,25.5,13.4,394
1,0,0,0,0,0,49203,4,-1.2720542,36.7910241,-1.263419,36.8060348,20.7,13.4,730
0,0,0,1,0,0,55626,3,-1.2649605,36.7981777,-1.2771989,36.8089752,26.4,13.4,358
0,0,1,0,0,0,51956,15,-1.2196545,36.8840194,-1.2733223,36.7951005,23.2,13.4,2394
1,0,0,0,0,0,36866,10,-1.2791763,36.8257709,-1.2945319,36.7618945,22.8,13.4,1030
0,0,0,1,0,0,51067,2,-1.2571472,36.7950633,-1.2527958,36.8003131,20.4,13.4,344
0,0,0,0,1,0,40745,14,-1.2235201,36.8020608,-1.2929577,36.7955434,20.2,13.4,1679
